,CurrentPeak,statorCelsius,rpmSetPoint,bearingsCelsius,VibromPeak,idChiave,ist_acc,spindleRpm,LUNG,numTP,UTE,@timestamp,statoRot,DIAM
150,12.316,32.0,750.0,20.0,0.1,1032,2935800,745.0,186.0,1,M6,2021-01-22T16:59:04.853Z,1,6.0
151,13.833,32.0,0.0,20.0,0.1,1032,2936029,0.0,186.0,1,M6,2021-01-22T16:59:07.143Z,1,6.0
152,11.917,32.0,750.0,20.0,0.1,1032,2936298,753.0,186.0,1,M6,2021-01-22T16:59:09.833Z,1,6.0
153,14.244,32.0,0.0,20.0,0.1,1032,2936526,0.0,186.0,1,M6,2021-01-22T16:59:12.113Z,1,6.0
154,13.283,18.0,5000.0,18.0,0.3,1033,3025655,4998.0,127.321,1,PUNTA_D5,2021-01-22T17:14:03.420Z,1,5.0
155,13.265,20.0,5000.0,18.0,0.4,1034,3048252,4997.0,127.321,1,PUNTA_D5,2021-01-22T17:17:49.394Z,1,5.0
156,13.406,20.0,18000.0,18.0,0.5,1035,3059179,18004.0,105.86,1,D6_Z1,2021-01-22T17:19:38.666Z,1,6.0
157,13.248,19.0,18000.0,18.0,0.7,1036,3088787,17999.0,105.86,1,D6_Z1,2021-01-22T17:24:34.752Z,1,6.0
158,13.13,20.0,18000.0,19.0,0.6,1037,3105834,18007.0,105.86,1,D6_Z1,2021-01-22T17:27:25.225Z,1,6.0
159,13.57,21.0,18000.0,19.0,0.6,1038,3112519,17991.0,105.86,1,D6_Z1,2021-01-22T17:28:32.076Z,1,6.0
160,13.189,22.0,18000.0,19.0,0.6,1039,3119580,18001.0,105.86,1,D6_Z1,2021-01-22T17:29:42.688Z,1,6.0
161,13.248,22.0,18000.0,20.0,0.7,1040,3133812,18004.0,105.86,1,D6_Z1,2021-01-22T17:32:05.010Z,1,6.0
162,13.447,22.0,18000.0,20.0,1.7,1041,3149350,18004.0,109.459,1,D10_Z1,2021-01-22T17:34:40.393Z,1,9.5
163,13.541,22.0,18000.0,20.0,1.6,1042,3156912,17999.0,109.459,1,D10_Z1,2021-01-22T17:35:56.015Z,1,9.5
164,13.371,22.0,18000.0,20.0,1.5,1043,3164489,18005.0,109.459,1,D10_Z1,2021-01-22T17:37:11.786Z,1,9.5
165,13.558,22.0,18000.0,20.0,1.6,1044,3173224,18011.0,109.459,1,D10_Z1,2021-01-22T17:38:39.138Z,1,9.5
166,13.189,23.0,18000.0,20.0,1.5,1045,3179225,17997.0,109.459,1,D10_Z1,2021-01-22T17:39:39.149Z,1,9.5
167,13.218,23.0,18000.0,20.0,1.6,1046,3188640,18004.0,109.459,1,D10_Z1,2021-01-22T17:41:13.301Z,1,9.5
168,13.236,23.0,18000.0,20.0,1.5,1047,3202864,18004.0,109.459,1,D10_Z1,2021-01-22T17:43:35.544Z,1,9.5
169,13.283,23.0,18000.0,20.0,1.5,1048,3211005,18007.0,109.459,1,D10_Z1,2021-01-22T17:44:56.955Z,1,9.5
170,13.417,23.0,18000.0,20.0,1.0,1049,3218743,17997.0,109.459,1,D10_Z1,2021-01-22T17:46:14.337Z,1,9.5
