,statorCelsius,LUNG,VibromPeak,spindleRpm,@timestamp,DIAM,ist_acc,idChiave,rpmSetPoint,numTP,bearingsCelsius,CurrentPeak,UTE,statoRot
177,32.0,98.349,3.8,4001.0,2021-07-23T07:28:03.968Z,351.0,2917767,7240,4000.0,1,0.0,6.572,FRESA350,1
178,30.0,98.349,2.0,4001.0,2021-07-23T07:28:34.988Z,351.0,2920869,7240,4000.0,1,0.0,1.798,FRESA350,1
179,35.0,118.0,1.7,17975.0,2021-07-23T07:31:58.052Z,8.9,2941175,7241,18000.0,1,0.0,15.128,R9MM_25,1
180,30.0,98.349,2.9,3958.0,2021-07-23T07:34:47.755Z,351.0,2958145,7242,4000.0,1,0.0,37.82,FRESA350,1
181,32.0,127.8,0.3,5011.0,2021-07-23T07:35:14.425Z,8.0,2960812,7243,5000.0,1,0.0,22.723,R0MM_53,1
182,29.0,259.7,0.3,2003.0,2021-07-23T07:37:15.577Z,16.0,2972927,7244,2000.0,1,0.0,36.487,TH_16MM_182,1
183,30.0,98.349,2.3,3922.0,2021-07-23T07:46:04.176Z,351.0,3025786,7245,4000.0,1,0.0,16.957,FRESA350,1
184,30.0,98.349,4.0,4000.0,2021-07-23T07:48:51.938Z,351.0,3042562,7245,4000.0,1,0.0,4.898,FRESA350,1
185,30.0,98.349,2.2,4000.0,2021-07-23T07:49:23.129Z,351.0,3045681,7245,4000.0,1,0.0,6.386,FRESA350,1
186,35.0,118.0,1.3,17971.0,2021-07-23T07:52:46.262Z,8.9,3065994,7246,18000.0,1,0.0,15.221,R9MM_25,1
187,32.0,98.349,2.5,3911.0,2021-07-23T07:55:27.745Z,351.0,3082142,7247,4000.0,1,0.0,29.853,FRESA350,1
188,32.0,127.8,0.3,5022.0,2021-07-23T07:55:54.475Z,8.0,3084815,7248,5000.0,1,0.0,31.806,R0MM_53,1
189,29.0,259.7,0.4,1995.0,2021-07-23T07:57:49.147Z,16.0,3096282,7249,2000.0,1,0.0,35.247,TH_16MM_182,1
